apple,carrots,eggs,glue,juice,
apple,beer,diapers,ice,juice,
beer,carrots,diapers,glue,ham,
apple,carrots,fish,glue,ice,
apple,beer,ham,ice,juice,
apple,eggs,fish,glue,ham,
apple,eggs,fish,glue,juice,
apple,diapers,fish,ham,ice,
apple,diapers,eggs,glue,ham,
apple,carrots,eggs,fish,ice,
carrots,diapers,eggs,ham,ice,
beer,carrots,eggs,fish,glue,
apple,diapers,eggs,fish,ham,
beer,diapers,eggs,glue,juice,
apple,diapers,eggs,glue,ice,
apple,beer,carrots,glue,ham,
apple,diapers,eggs,glue,ice,
beer,diapers,glue,ham,juice,
beer,carrots,fish,ham,juice,
apple,eggs,fish,ham,juice,
