beer,carrots,fish,glue,ice,juice,
apple,carrots,diapers,fish,ice,juice,
apple,beer,carrots,fish,ham,juice,
apple,eggs,fish,glue,ham,juice,
apple,diapers,eggs,fish,glue,juice,
apple,beer,diapers,eggs,glue,ice,
apple,beer,carrots,eggs,ham,juice,
diapers,eggs,fish,glue,ham,juice,
apple,diapers,fish,glue,ice,juice,
apple,beer,diapers,glue,ham,juice,
apple,beer,carrots,fish,glue,ice,
apple,beer,diapers,eggs,fish,juice,
apple,diapers,fish,glue,ham,ice,
apple,beer,diapers,fish,glue,ham,
apple,beer,carrots,eggs,glue,ice,
apple,fish,juice,
apple,beer,diapers,eggs,glue,ham,
carrots,diapers,eggs,ham,ice,juice,
diapers,eggs,fish,glue,ice,juice,
apple,beer,carrots,fish,ham,ice,
